Advertiser ID,Outcome,Pre-period days,Post-period days,Individual ATT
1534591,log_spend_safe,28,31,-1.0856166885851106
229253,log_spend_safe,22,22,-0.5426397788538004
1113201,log_spend_safe,2,15,-0.0294419974010544
2196844,log_spend_safe,3,31,0.1765873956348471
370866,log_spend_safe,12,31,0.2895343286181635
255613,log_spend_safe,13,31,0.3576172351607933
258567,log_spend_safe,7,25,1.2299707303062264
2196844,n_campaign_types_active,3,31,-0.3716939370624021
1113201,n_campaign_types_active,2,15,-0.0953498510408967
229253,n_campaign_types_active,22,22,0.032625407713362
255613,n_campaign_types_active,13,31,0.0991159834174537
1534591,n_campaign_types_active,28,31,0.2436732873808111
370866,n_campaign_types_active,12,31,0.2858016894378374
258567,n_campaign_types_active,7,25,0.2916081410507407
